Product,Name,Rating,CommentHead,Comment,Date
apple-iphone-12-white-128-gb,Aalok  Kumar,5,Worth every penny,Best in every department. ❤️I upgraded on iPhone from Samsung S20plus and after use almost 10 days I realise that it’s my good decision.,4 months ago
apple-iphone-12-white-128-gb,ANAND S,5,Highly recommended,"My 1st iPhone ever and I’m loving it. Great performance, awesome display, camera is outstanding which comes with heavily priced. But worth it. White color looks super cool. 🎉😊😍",6 months ago
apple-iphone-12-white-128-gb,Amith Thomas,5,Must buy!,"Overall a good experience. Takes sometime to get used to iOS if you're coming from android. The display is good, looks natural. I turned off true tone as I felt it made the display warmer than I like. Also you might find the colours not very saturated if you're coming from a Samsung phone.Battery is very good, lasts an entire day and more for me. Camera is also pretty good.",10 months ago
apple-iphone-12-white-128-gb,Shivalik Chadha,3,Decent product,"Was using the OnePlus 7 pro before this, it was a 2 year old device but still had better battery backup than this Iphone. Rest you all know its an iphone, great camera, nice screen, ios is very smooth and consistent which many android phones lack, Face ID is a pain during Covid and boy they don't give charger which sucks.Overall a nice phone, battery should have been better",7 months ago
apple-iphone-12-white-128-gb,Rohan Gupta,5,Awesome,"price range is not for everyone but if you can afford it don't hesitate a bit because this phones gives you most realistic camera, stunning filters, efficient battery life, multimedia files take low storage, applications run smoothly and last but best part is the security features for messaging and payments. I am not asking everyone to buy it but if you can afford an apple phone then you should always go for it without giving a second thought",11 months ago
apple-iphone-12-white-128-gb,Sunil  Eshwar ,4,Worth the money,❤️ no need to tell anything . Every one knows about I phone.,6 months ago
apple-iphone-12-white-128-gb,faisal Tai,4,Very Good,"Top notch performance, get it if you have budget and want a reliable Smartphone for long term. Still apple need some improvement in display like high refresh rate, smaller notch or full screen display may be.","Nov, 2020"
apple-iphone-12-white-128-gb,Ritwik Samanta,5,Terrific purchase,"Nothing to say about this device. Absolutely flawless. Premium in-hand feel. Nothing to say about the camera. Surround sound works absolutely fine. A14 Bionic is just flawless. Smooth multi tasking. This is my first big upgrade to any flagship device and the usage is mesmerizing. Im literally impressed. Used 5s and 6s years ago, but nothing comes infront of this! Can blindly go for this device. Kudos to Flipkart and their next day delivery policy. Open box policy is also impressive. Go for it.",2 months ago
apple-iphone-12-white-128-gb,Sathish Manohar Rao,5,Highly recommended,Got iPhone 12 128 gb version for just 52k during October 2021 big billion sale.. This would be the cheapest price in 2021 to get this brand new iPhone in India..Performance of phone and its brilliant cameras are just mind blowing.. Really love this phone a-lot.. Battery backup could have been better.. but still it's manageable.. Thank you Flipkart for providing this phone for such a affordable price,1 month ago
apple-iphone-12-white-128-gb,supriyo  kumar,4,Good choice,"Nice camera nice design ios is extremely fast as expected.Cons:  if you are switching from android 5000mah battery and fast charger like 65w then you are going to face a big problem with battery backup , as apple support 20w fast charger so make a note of it .",1 month ago
